iter	Passed	Remaining
458	811	956
459	812	953
460	816	954
461	818	952
462	819	950
463	820	947
464	821	945
465	823	943
466	824	940
467	825	938
468	826	935
469	827	933
470	829	931
471	830	929
472	832	927
473	833	924
474	834	922
475	835	920
476	837	917
477	838	915
478	839	913
479	841	912
480	846	913
481	847	911
482	849	908
483	850	906
484	851	903
485	852	901
486	853	899
487	854	896
488	856	895
489	857	892
490	858	890
491	859	887
492	860	885
493	862	882
494	863	880
495	864	878
496	864	875
497	865	872
498	867	870
499	868	868
500	869	865
501	870	863
502	871	861
503	872	858
504	873	856
505	877	856
506	878	854
507	880	852
508	881	850
509	882	848
510	884	846
511	885	843
512	886	841
513	887	839
514	889	837
515	891	835
516	892	833
517	893	831
518	895	829
519	897	828
520	899	826
521	900	824
522	901	822
523	904	821
524	905	819
525	907	817
526	908	815
527	909	813
528	910	810
529	911	808
530	912	806
531	913	803
532	914	801
533	915	799
534	916	796
535	917	794
536	918	792
537	920	790
538	920	787
539	921	785
540	922	782
541	923	780
542	925	778
543	925	776
544	926	773
545	927	771
546	928	769
547	929	767
548	930	764
549	931	762
550	932	760
551	934	758
552	935	756
553	937	754
554	938	752
555	939	750
556	940	748
557	941	745
558	942	743
559	943	741
560	944	739
561	946	737
562	947	735
563	948	732
564	949	730
565	950	728
566	951	726
567	952	724
568	953	722
569	954	720
570	955	718
571	956	715
572	957	713
573	958	711
574	959	709
575	960	707
576	961	705
577	962	702
578	964	700
579	965	699
580	967	697
581	969	696
582	970	694
583	972	692
584	973	690
585	974	688
586	976	686
587	977	685
588	979	683
589	980	681
590	982	679
591	983	677
592	984	675
593	985	673
594	986	671
595	986	668
596	987	666
597	988	664
598	990	662
599	991	660
600	992	658
601	993	656
602	994	654
603	995	652
604	996	650
605	997	648
606	998	646
607	999	644
608	1000	642
609	1001	640
610	1003	638
611	1003	636
612	1004	634
613	1005	632
614	1007	630
615	1008	628
616	1009	626
617	1010	624
618	1011	622
619	1012	620
620	1013	618
621	1014	616
622	1015	614
623	1016	612
624	1017	610
625	1018	608
626	1019	606
627	1020	604
628	1021	602
629	1023	600
630	1024	599
631	1025	597
632	1026	595
633	1027	593
634	1028	591
635	1029	589
636	1030	587
637	1031	585
638	1032	583
639	1033	581
640	1034	579
641	1035	577
642	1037	575
643	1039	574
644	1040	572
645	1041	570
646	1042	568
647	1043	566
648	1044	564
649	1045	562
650	1046	560
651	1047	558
652	1048	557
653	1049	555
654	1050	553
655	1051	551
656	1052	549
657	1054	547
658	1055	546
659	1056	544
660	1057	542
661	1058	540
662	1059	538
663	1060	536
664	1061	534
665	1062	533
666	1063	531
667	1065	529
668	1066	527
669	1068	526
670	1070	524
671	1072	523
672	1073	521
673	1074	519
674	1075	517
675	1076	515
676	1077	514
677	1078	512
678	1079	510
679	1081	508
680	1082	506
681	1083	505
682	1084	503
683	1085	501
684	1088	500
685	1089	498
686	1090	496
687	1091	494
688	1092	493
689	1093	491
690	1094	489
691	1095	487
692	1096	485
693	1097	484
694	1098	482
695	1100	480
696	1101	478
697	1102	476
698	1103	475
699	1104	473
700	1105	471
701	1106	469
702	1107	467
703	1108	466
704	1109	464
705	1111	463
706	1113	461
707	1115	459
708	1116	458
709	1117	456
710	1118	454
711	1119	452
712	1120	451
713	1121	449
714	1123	447
715	1125	446
716	1127	444
717	1128	443
718	1129	441
719	1131	439
720	1132	438
721	1133	436
722	1134	434
723	1135	432
724	1136	431
725	1137	429
726	1138	427
727	1139	425
728	1140	424
729	1142	422
730	1143	420
731	1144	419
732	1145	417
733	1146	415
734	1148	414
735	1149	412
736	1151	410
737	1152	409
738	1154	407
739	1156	406
740	1158	404
741	1159	403
742	1161	401
743	1162	400
744	1163	398
745	1164	396
746	1165	394
747	1167	393
748	1168	391
749	1170	390
750	1171	388
751	1172	386
752	1173	385
753	1175	383
754	1176	381
755	1177	379
756	1178	378
757	1179	376
758	1180	374
759	1181	373
760	1182	371
761	1183	369
762	1184	367
763	1185	366
764	1187	364
765	1188	363
766	1189	361
767	1190	359
768	1191	357
769	1192	356
770	1193	354
771	1194	352
772	1195	351
773	1196	349
774	1197	347
775	1198	346
776	1200	344
777	1202	342
778	1203	341
779	1204	339
780	1205	337
781	1206	336
782	1207	334
783	1208	332
784	1209	331
785	1211	329
786	1212	328
787	1213	326
788	1214	324
789	1215	323
790	1216	321
791	1217	319
792	1218	318
793	1220	316
794	1221	314
795	1221	313
796	1222	311
797	1223	309
798	1224	308
799	1226	306
800	1227	304
801	1229	303
802	1230	301
803	1231	300
804	1232	298
805	1234	297
806	1235	295
807	1237	294
808	1239	292
809	1240	291
810	1242	289
811	1243	287
812	1244	286
813	1245	284
814	1246	282
815	1248	281
816	1249	279
817	1251	278
818	1252	276
819	1254	275
820	1256	273
821	1257	272
822	1258	270
823	1260	269
824	1261	267
825	1262	265
826	1263	264
827	1264	262
828	1265	261
829	1267	259
830	1268	257
831	1269	256
832	1270	254
833	1271	253
834	1273	251
835	1274	249
836	1275	248
837	1277	246
838	1279	245
839	1280	243
840	1281	242
841	1282	240
842	1283	239
843	1284	237
844	1285	235
845	1286	234
846	1287	232
847	1288	230
848	1289	229
849	1290	227
850	1292	226
851	1293	224
852	1294	223
853	1295	221
854	1296	219
855	1297	218
856	1298	216
857	1299	215
858	1300	213
859	1301	211
860	1302	210
861	1304	208
862	1305	207
863	1306	205
864	1308	204
865	1309	202
866	1310	200
867	1311	199
868	1312	197
869	1313	196
870	1314	194
871	1315	193
872	1316	191
873	1317	189
874	1318	188
875	1319	186
876	1320	185
877	1322	183
878	1323	182
879	1324	180
880	1325	179
881	1326	177
882	1327	175
883	1328	174
884	1329	172
885	1330	171
886	1331	169
887	1332	168
888	1333	166
889	1335	165
890	1336	163
891	1337	161
892	1338	160
893	1339	158
894	1340	157
895	1341	155
896	1342	154
897	1344	152
898	1345	151
899	1346	149
900	1347	148
901	1348	146
902	1349	144
903	1351	143
904	1352	141
905	1353	140
906	1354	138
907	1355	137
908	1356	135
909	1357	134
910	1358	132
911	1359	131
912	1360	129
913	1361	128
914	1362	126
915	1363	125
916	1365	123
917	1366	122
918	1367	120
919	1368	119
920	1369	117
921	1370	115
922	1371	114
923	1373	112
924	1373	111
925	1374	109
926	1375	108
927	1376	106
928	1377	105
929	1378	103
930	1380	102
931	1381	100
932	1382	99
933	1383	97
934	1384	96
935	1385	94
936	1386	93
937	1387	91
938	1388	90
939	1389	88
940	1390	87
941	1391	85
942	1392	84
943	1393	82
944	1394	81
945	1395	79
946	1396	78
947	1397	76
948	1398	75
949	1399	73
950	1400	72
951	1401	70
952	1402	69
953	1403	67
954	1404	66
955	1406	64
956	1407	63
957	1409	61
958	1410	60
959	1412	58
960	1413	57
961	1415	55
962	1416	54
963	1418	52
964	1419	51
965	1421	50
966	1422	48
967	1424	47
968	1426	45
969	1427	44
970	1428	42
971	1429	41
972	1431	39
973	1432	38
974	1433	36
975	1434	35
976	1435	33
977	1436	32
978	1437	30
979	1438	29
980	1439	27
981	1440	26
982	1442	24
983	1443	23
984	1444	22
985	1446	20
986	1447	19
987	1448	17
988	1449	16
989	1450	14
990	1451	13
991	1452	11
992	1453	10
993	1453	8
994	1455	7
995	1456	5
996	1457	4
997	1458	2
998	1459	1
999	1460	0
